use_case_id,business_owner,technology_owner,risk_owner,data_owner,privacy_reviewer,security_reviewer,vendor_reviewer,model_reviewer,final_approver
UC-001,"Director, Retail Credit Strategy","Manager, Decisioning Platforms","Senior Manager, Model Risk","Lead, Credit Bureau Data",Privacy Office,Cybersecurity Risk,Not applicable,Model Risk Management,AI Risk Committee
UC-002,"Director, Fraud Operations","Manager, Fraud Analytics Engineering","Senior Manager, Operational Risk","Lead, Transaction Data",Privacy Office,Cybersecurity Risk,Not applicable,Model Risk Management,AI Risk Committee
UC-003,"Director, Digital Client Experience","Manager, Conversational AI","Senior Manager, AI Governance","Lead, Customer Interaction Data",Privacy Office,Cybersecurity Risk,Third-Party Risk,Model Risk Management,AI Risk Committee
UC-004,"Senior Manager, Contact Centre Operations","Lead, Speech Analytics Platform","Manager, Records and Operational Risk","Lead, Voice and Transcript Data",Privacy Office,Cybersecurity Risk,Third-Party Risk,Model Risk Management,AI Risk Committee
UC-005,"Director, Marketing Strategy","Manager, Customer Analytics","Senior Manager, Privacy Risk","Lead, Customer Profile Data",Privacy Office,Cybersecurity Risk,Not applicable,Model Risk Management,Business Risk Owner
UC-006,"Director, Collections Strategy","Manager, Collections Platforms","Senior Manager, Conduct Risk","Lead, Delinquency Data",Privacy Office,Cybersecurity Risk,Not applicable,Model Risk Management,AI Risk Committee
UC-007,"Director, Talent Acquisition","Manager, HR Systems","Senior Manager, Employment Risk","Lead, HR Data",Privacy Office,Cybersecurity Risk,Third-Party Risk,Model Risk Management,Business Risk Owner
UC-008,"Director, Software Engineering","Lead, Developer Platforms","Senior Manager, Technology Risk","Lead, Source Code Governance",Privacy Office,Cybersecurity Risk,Third-Party Risk,Model Risk Management,AI Risk Committee
UC-009,"Director, Client Care","Manager, Workflow Automation","Senior Manager, AI Governance","Lead, Complaint Management Data",Privacy Office,Cybersecurity Risk,Third-Party Risk,Model Risk Management,AI Risk Committee
UC-010,"Director, Commercial Operations","Manager, Document Platforms","Senior Manager, Third-Party Risk","Lead, Commercial Document Data",Privacy Office,Cybersecurity Risk,Third-Party Risk,Model Risk Management,Business Risk Owner
