mitigation_id,use_case_id,risk_id,mitigation_action,control_type,control_owner,target_completion_date,implementation_status,residual_risk_after_mitigation,evidence_required,escalation_required
MIT-001,UC-001,RISK-001,"Implement documented mitigation for Fairness and bias risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-002,UC-001,RISK-002,"Implement documented mitigation for Explainability risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-003,UC-002,RISK-003,"Implement documented mitigation for Customer harm risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-004,UC-002,RISK-004,"Implement documented mitigation for Model drift risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-005,UC-003,RISK-005,"Implement documented mitigation for Hallucination risk, including assigned owner, control test, and evidence before approval.",Technical guardrail,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-006,UC-003,RISK-006,"Implement documented mitigation for Prompt injection risk, including assigned owner, control test, and evidence before approval.",Technical guardrail,AI Risk Management Office,2026-07-31,In progress,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",Yes
MIT-007,UC-004,RISK-007,"Implement documented mitigation for Data privacy risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-008,UC-004,RISK-008,"Implement documented mitigation for Data quality risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-009,UC-005,RISK-009,"Implement documented mitigation for Data privacy risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-010,UC-005,RISK-010,"Implement documented mitigation for Fairness and bias risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-011,UC-006,RISK-011,"Implement documented mitigation for Customer harm risk, including assigned owner, control test, and evidence before approval.",Process control,AI Risk Management Office,2026-07-31,In progress,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",Yes
MIT-012,UC-006,RISK-012,"Implement documented mitigation for Fairness and bias risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-013,UC-007,RISK-013,"Implement documented mitigation for Fairness and bias risk, including assigned owner, control test, and evidence before approval.",Process control,AI Risk Management Office,2026-07-31,In progress,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",Yes
MIT-014,UC-007,RISK-014,"Implement documented mitigation for Third-party/vendor risk risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-015,UC-008,RISK-015,"Implement documented mitigation for Security risk, including assigned owner, control test, and evidence before approval.",Technical guardrail,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-016,UC-008,RISK-016,"Implement documented mitigation for Data privacy risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-017,UC-009,RISK-017,"Implement documented mitigation for Unauthorized agent action risk, including assigned owner, control test, and evidence before approval.",Technical guardrail,AI Risk Management Office,2026-07-31,In progress,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",Yes
MIT-018,UC-009,RISK-018,"Implement documented mitigation for Prompt injection risk, including assigned owner, control test, and evidence before approval.",Technical guardrail,AI Risk Management Office,2026-07-31,In progress,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",Yes
MIT-019,UC-009,RISK-019,"Implement documented mitigation for Human oversight risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-020,UC-010,RISK-020,"Implement documented mitigation for Third-party/vendor risk risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
MIT-021,UC-010,RISK-021,"Implement documented mitigation for Data quality risk, including assigned owner, control test, and evidence before approval.",Process control,Use Case Owner,2026-08-30,Planned,Medium,"Testing results, approval record, monitoring evidence, and updated model/system card",No
